0,46600,27500,99600,49600,47900,75700,160000,170300,213900,203600,175900,93000,122800,140100
46600,0,55900,133900,80300,78500,104700,183400,199200,233500,229500,222200,122500,156000,171100
27500,55900,0,144200,22100,40800,57300,141600,142800,186400,183400,267800,74600,328900,129500
99600,133900,144200,0,70700,55400,45400,103700,137900,139000,130800,142500,74800,55100,42600
49600,80300,22100,70700,0,15300,24400,103100,118900,164300,149200,141900,42200,75700,90800
47900,78500,40800,55400,15300,0,39700,100000,134200,138100,164500,138800,57500,72600,87700
75700,104700,57300,45400,24400,39700,0,78700,106100,118100,136400,117500,29400,51300,66400
160000,183400,141600,103700,103100,100000,78700,0,47800,48700,37600,49300,97500,49300,29900
170300,199200,142800,137900,118900,134200,106100,47800,0,40700,54500,41000,76700,86600,67200
213900,233500,186400,139000,164300,138100,118100,48700,40700,0,24900,0,122100,85300,66900
203600,229500,183400,130800,149200,164500,136400,37600,54500,24900,0,33500,107000,76400,57000
175900,222200,267800,142500,141900,138800,117500,49300,41000,0,33500,0,112400,88100,68700
93000,122500,74600,74800,42200,57500,29400,97500,76700,122100,107000,112400,0,70100,85200
122800,156000,328900,55100,75700,72600,51300,49300,86600,85300,76400,88100,70100,0,15100
140100,171100,129500,42600,90800,87700,66400,29900,67200,66900,57000,68700,85200,15100,0
